heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,draw,70,0,1,0,1,939
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,58,0,0,1,1,970
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,64,0,0,2,1,704
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,draw,90,1,1,1,2,5180
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,64,0,0,2,2,1066
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,draw,104,0,1,0,1,2037
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,60,0,0,5,1,1729
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,62,0,0,2,2,1080
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,56,0,0,2,1,1127
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,white,57,3,0,0,0,893
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,146,0,0,0,3,17811
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,draw,132,0,2,0,1,10739
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,54,0,0,4,0,1395
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,white,61,3,0,0,0,1018
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,white,187,0,3,0,0,20108
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,draw,83,0,2,0,1,1190
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,98,0,0,1,2,4464
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,72,0,0,1,2,1997
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,draw,140,0,1,0,3,30398
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,draw,153,0,3,0,1,30856
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,58,0,0,3,2,2395
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,66,0,0,5,1,3383
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,96,0,0,1,2,10659
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,62,0,0,3,1,1539
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,62,0,0,3,1,2289
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,white,69,4,0,0,0,1208
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,52,0,0,5,0,1210
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,draw,68,1,1,0,1,2558
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,draw,71,0,2,0,1,1622
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,white,97,2,2,0,0,7083
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,60,0,0,3,0,2316
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,white,49,5,1,0,0,920
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,58,0,0,1,1,953
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,draw,87,0,1,0,1,1341
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,mandatory,black,56,1,0,3,1,1293
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,60,0,0,2,1,737
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,64,0,0,2,1,761
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,white,61,4,1,0,0,958
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,white,71,2,1,0,0,1274
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,54,0,0,3,1,960
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,white,55,5,0,0,0,1257
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,64,0,0,3,1,1272
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,white,65,4,0,0,0,1106
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,56,0,0,6,0,1165
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,draw,168,1,1,0,3,23865
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,draw,88,0,1,0,2,2219
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,draw,75,1,1,0,1,1260
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,50,0,0,6,1,1000
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,draw,68,1,1,0,1,1351
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,56,0,0,3,1,992
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,64,0,0,3,0,4510
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,54,1,0,2,1,1821
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,58,1,0,6,1,2233
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,62,0,0,2,1,3110
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,56,0,0,1,1,673
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,white,133,1,1,0,0,3662
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,draw,76,0,1,0,1,1258
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,64,0,0,4,1,2132
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,56,0,0,3,1,1104
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,74,0,0,2,1,1982
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,48,0,0,2,1,1089
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,draw,69,0,1,0,2,720
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,66,1,0,4,1,2692
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,58,1,0,3,1,1455
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,72,0,0,4,1,1182
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,76,0,0,2,1,3286
heuristicCountPieces,8,heuristicCountPiecesWeighted,8,bestMandatory,black,72,0,0,1,1,1322
